0,nombres_productos,precios,categoria,imagenes
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Escamador X Unidad ,$ 19.100                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/AZMT020820201008_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Palitos Prémium x 100 Unidades X Unidad ,$ 12.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/RNAA112520200931_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera de 30 Platos X Unidad ,$ 114.500                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera de 25 Platos X Unidad ,$ 81.800                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera de 15 Platos X Unidad ,$ 60.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/LCIT082520200715_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera de 10 Platos X Unidad ,$ 50.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/HZNR082520200717_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera de 5 Platos X Unidad ,$ 40.000                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/OCFV082520200719_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,Paellera Personal X Unidad ,$ 19.600                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,"Cuchillo para Sushi 12"" X Unidad ",$ 139.100                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3184_400.jpg
https://hipermarfish.com/market/productos/accesorios-y-utensilios,"Cuchillo para Sushi 8"" X Unidad ",$ 120.200                          ,ACCESORIOS Y UTENSILIOS,https://hipermarfish.com/public/images/productos/B5A3184_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz para Sushi x 22.68 Kg X Unidad x 22.68 kg ,$ 270.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/EURH112720200214_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz para Sushi x 18.14 Kg (grano medio) X Unidad x 18.14 kg ,$ 228.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/B5A3539_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz para Sushi x 18.8 Kg (grano corto) X Unidad x 18.80 kg ,$ 170.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/PVCG062120220702_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz para Sushi California 2.26 Kg X Unidad x 2.26 kg ,$ 30.400                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/RXSK101520201223_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz para Sushi California 907 g X Unidad x 907 g ,$ 13.600                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/ZMBN101520201223_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz Jasmine x 22.27 Kg X Unidad x 22.27 kg ,$ 350.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/B5A3540_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz Jasmine 2.27 Kg X Unidad x 2.27 kg ,$ 37.400                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/LXTQ020820200842_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz Jazmín 44 lb X Unidad x 44 lb ,$ 215.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/ZDUJ080620220434_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz Integral Sunlee Jasmine x 2.27 Kg X Unidad x 2.27 kg ,$ 39.300                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/KUBQ121720190652_400.jpg
https://hipermarfish.com/market/productos/arroces-y-harinas,Arroz Dulce x 2.27 Kg X Unidad x 2.27 kg ,$ 34.000                          ,ARROCES Y HARINAS,https://hipermarfish.com/public/images/productos/B5A2914_400.jpg
