nombres_productos,categorias,precios,imagenes,url
Arroz Jasmine 2.26 Kg X Unidad x 2.26 kg ,ARROCES Y HARINAS,$ 37.400                          ,https://hipermarfish.com/public/images/productos/GDWE091220230249_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Jasmine 908 g X Unidad x 908 g ,ARROCES Y HARINAS,$ 14.200                          ,https://hipermarfish.com/public/images/productos/UOAC091220230249_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Integral Sunlee Jasmine x 2.27 Kg X Unidad x 2.27 kg ,ARROCES Y HARINAS,$ 39.300                          ,https://hipermarfish.com/public/images/productos/KUBQ121720190652_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Dulce x 2.27 Kg X Unidad x 2.27 kg ,ARROCES Y HARINAS,$ 34.000                          ,https://hipermarfish.com/public/images/productos/B5A2914_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Dulce en Bulto x 11.35 Kg X Unidad x 11.35 kg ,ARROCES Y HARINAS,$ 158.000                          ,https://hipermarfish.com/public/images/productos/NQBW062220210914_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Pepa 1 Kg X Unidad x 1 kg ,ARROCES Y HARINAS,$ 6.300                          ,https://hipermarfish.com/public/images/productos/DEJW021020220508_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Harina de Arroz Glutinoso 454 g X Unidad x 454 g ,ARROCES Y HARINAS,$ 7.500                          ,https://hipermarfish.com/public/images/productos/KSMW050620200819_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Harina de Arroz 454 g X Unidad x 454 g ,ARROCES Y HARINAS,$ 7.500                          ,https://hipermarfish.com/public/images/productos/YTRY050620200820_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Masago Arare 300 g X Unidad x 300 g ,ARROCES Y HARINAS,$ 59.000                          ,https://hipermarfish.com/public/images/productos/RIBC021020220400_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Panko Blanco en Bulto 9.08 Kg X Paquete x 9.08 kg ,ARROCES Y HARINAS,$ 152.000                          ,https://hipermarfish.com/public/images/productos/YQRX121020210244_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
